ISBN            WWU Price       Amazon Price    Difference     
9781452217819   54.00           45.24           8.76           
9780132658591   108.75          100.00          8.75           
9780393911541   43.75           35.00           8.75           
9780316881791   8.75            0.01            8.74           
9780452273405   8.75            0.01            8.74           
9780192839497   8.75            0.01            8.74           
9780679729525   8.75            0.01            8.74           
9780060850524   10.00           1.26            8.74           
9780156032278   8.75            0.01            8.74           
9780195061659   8.75            0.04            8.71           
9781405115698   33.00           24.29           8.71           
9780982541630   10.25           1.68            8.57           
9780691146232   15.50           6.98            8.52           
9781416531746   14.25           5.73            8.52           
9780807750636   17.50           8.99            8.51           
9780143123484   11.50           2.99            8.51           
9781616203160   10.00           1.49            8.51           
9780805082401   12.75           4.24            8.51           
9780374532505   10.25           1.75            8.50           
9780811218702   27.00           18.50           8.50           
9780375842207   8.75            0.30            8.45           
9781451682465   21.50           13.08           8.42           
9781608196357   10.75           2.34            8.41           
9780691020280   14.75           6.35            8.40           
9780791424001   21.50           13.10           8.40           
9781457604935   43.25           34.88           8.37           
9780500203644   14.75           6.39            8.36           
9780071781770   12.25           3.90            8.35           
9780452281240   10.80           2.46            8.34           
9780374527075   8.75            0.42            8.33           
9780143035831   10.25           1.94            8.31           
9780156439619   9.50            1.19            8.31           
9780252072789   20.25           11.95           8.30           
9780810119802   10.25           1.96            8.29           
9780976082200   11.50           3.22            8.28           
9780393972771   16.25           7.98            8.27           
9780199736324   16.75           8.50            8.25           
9780807063156   10.50           2.28            8.22           
9780199350841   60.75           52.54           8.21           
9780226065663   11.50           3.30            8.20           
9780061886577   11.50           3.37            8.13           
9780195059281   10.75           2.62            8.13           
9780143105091   9.50            1.38            8.12           
9780132915694   34.50           26.42           8.08           
9781594631450   10.75           2.69            8.06           
9780226493152   17.00           8.95            8.05           
9780393975598   15.50           7.45            8.05           
9780809016518   12.00           3.99            8.01           
9781596439245   23.50           15.50           8.00           
9780452297753   10.75           2.78            7.97           
9780374506483   10.25           2.35            7.90           
9780300189773   20.25           12.35           7.90           
9780262582155   16.75           8.88            7.87           
9780807009499   10.75           2.90            7.85           
9780415602778   29.75           21.95           7.80           
9780679752707   10.75           2.97            7.78           
9780374533403   10.25           2.48            7.77           
9781405184113   34.50           26.74           7.76           
9781568812793   37.75           29.99           7.76           
9780143039679   10.75           2.99            7.76           
9780072855135   23.75           15.99           7.76           
9780061743993   10.75           3.00            7.75           
9780736093408   60.00           52.28           7.72           
9781603090742   13.50           5.79            7.71           
9780393314328   8.75            1.08            7.67           
9782842612894   12.00           4.34            7.66           
9780802130310   10.00           2.36            7.64           
9780240817361   36.50           28.91           7.59           
9780060934347   11.50           3.92            7.58           
9780691144627   16.75           9.17            7.58           
9780816643127   13.50           5.93            7.57           
9780439895293   13.50           5.94            7.56           
9780446178433   9.50            1.95            7.55           
9780307277329   11.50           3.96            7.54           
9780312424091   10.25           2.72            7.53           
9780465026210   16.25           8.74            7.51           
9781844670864   15.50           7.99            7.51           
9780486437507   11.50           3.99            7.51           
9780763766177   51.50           44.00           7.50           
9780393921953   57.25           49.76           7.49           
9780679734772   7.50            0.01            7.49           
9780888991652   7.50            0.01            7.49           
9780439023528   7.50            0.01            7.49           
9780415950572   35.00           27.54           7.46           
9780312257378   10.50           3.05            7.45           
9781610393591   10.75           3.35            7.40           
9780895941220   11.50           4.10            7.40           
9780805055122   10.25           2.88            7.37           
9780674018242   16.50           9.16            7.34           
9780316013697   10.25           2.94            7.31           
9780393329339   10.75           3.44            7.31           
9780205779888   20.75           13.45           7.30           
9780385350846   16.75           9.45            7.30           
9781582407661   11.50           4.23            7.27           
9780375703768   14.25           6.98            7.27           
9780809016341   10.25           2.98            7.27           
9780323072007   65.50           58.25           7.25           
9781591846284   10.75           3.56            7.19           
9780465041268   11.50           4.38            7.12           
9780060891541   10.75           3.64            7.11           
9780205442065   65.25           58.16           7.09           
9780132192910   35.50           28.41           7.09           
9780618249060   10.00           2.96            7.04           
9780123870025   47.25           40.21           7.04           
9781441995025   47.25           40.21           7.04           
9780132689724   44.00           36.99           7.01           
9780399158445   19.50           12.50           7.00           
9780060976255   15.50           8.50            7.00           
9781582973517   11.50           4.58            6.92           
9781451696196   9.50            2.59            6.91           
9781259288937   115.25          108.34          6.91           
9780205962549   64.50           57.60           6.90           
9780253212344   12.25           5.37            6.88           
9780393926378   69.00           62.14           6.86           
9780763658076   10.75           3.91            6.84           
9781585429356   18.75           11.98           6.77           
9780140447033   10.75           3.99            6.76           
9780761160854   10.75           3.99            6.76           
9780415568685   56.75           50.00           6.75           
9780486427034   6.75            0.01            6.74           
9780064472883   6.75            0.01            6.74           
9780374500016   6.75            0.01            6.74           
9780140442014   6.75            0.01            6.74           
